code,title,description
BA 213,MANAGERIAL ACCOUNTING,"Accounting information from the perspective of management users with an emphasis on data accumulation for product costing, planning, and performance evaluation and control."
BA 223,PRINCIPLES OF MARKETING,"Covers concepts and principles used by marketing professionals. Designed explicitly for business majors, it’s an introduction to the relationships between customers, products, and companies in a competitive and dynamically evolving marketplace."
BA 223,PRINCIPLES OF MARKETING,"Covers concepts and principles used by marketing professionals. Designed explicitly for business majors, it’s an introduction to the relationships between customers, products, and companies in a competitive and dynamically evolving marketplace."
BA 223,PRINCIPLES OF MARKETING,"Covers concepts and principles used by marketing professionals. Designed explicitly for business majors, it’s an introduction to the relationships between customers, products, and companies in a competitive and dynamically evolving marketplace."
BA 223,PRINCIPLES OF MARKETING,"Covers concepts and principles used by marketing professionals. Designed explicitly for business majors, it’s an introduction to the relationships between customers, products, and companies in a competitive and dynamically evolving marketplace."
BA 230,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 230,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 230,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 230,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 230H,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 230H,BUSINESS LAW I,"Nature and function of law in our business society. Obligations arising out of agency, contract formation and breach, crimes, torts, warranty, regulation of competition, and international aspects thereof."
BA 240,FINANCE,"Introduces basic tools of finance and applications of financial theory in use today. These tools include rates of return, the time value of money, those that can be applied to capital budgeting decisions, and the logic and fundamentals of financial statements. It is designed to enhance a student’s approach to financial decision-making and emphasizes quantitative approaches to decision making. This course will also introduce students to equity and debt markets and securities, and serves as a stepping stone to advanced courses in finance."
BA 240,FINANCE,"Introduces basic tools of finance and applications of financial theory in use today. These tools include rates of return, the time value of money, those that can be applied to capital budgeting decisions, and the logic and fundamentals of financial statements. It is designed to enhance a student’s approach to financial decision-making and emphasizes quantitative approaches to decision making. This course will also introduce students to equity and debt markets and securities, and serves as a stepping stone to advanced courses in finance."
BA 240,FINANCE,"Introduces basic tools of finance and applications of financial theory in use today. These tools include rates of return, the time value of money, those that can be applied to capital budgeting decisions, and the logic and fundamentals of financial statements. It is designed to enhance a student’s approach to financial decision-making and emphasizes quantitative approaches to decision making. This course will also introduce students to equity and debt markets and securities, and serves as a stepping stone to advanced courses in finance."
